Найменування,Марка,Модель,Модифікація,Рік,Артикул,Тип электро-проводки,Горизонтальне навантаження,Вертикальне навантаження,Вага фаркопу,Знімання бамперу,Підрізання бамперу,"Роздрібна ціна, EUR",Категория,Схема 
Фаркоп Auto-Hak для автомобіля AUDI Q3 з 2011 A31,AUDI,Q3,також на S-line,з 2011,A31,модуль узгодження,2500,140,17,так,ні,92,фаркоп,https://i.postimg.cc/k5Sj6Y0K/A31.png
Фаркоп Auto-Hak для автомобіля AUDI Q 7 з 2015 A32,AUDI,Q 7,крім SQ7,з 2015,A32,модуль узгодження,3500,150,"21,9",так,так,165,фаркоп,https://i.postimg.cc/NjSJ0vzQ/A32.png
Фаркоп Auto-Hak для автомобіля AUDI Q 5 з 2017 A37,AUDI,Q 5,також на S-line,з 2017,A37,модуль узгодження,2400,100,"19,8",так,так,147,фаркоп,https://i.postimg.cc/pX0cgFQh/A37.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля AUDI Q 5 з 2017 A37V,AUDI,Q 5,також на S-line,з 2017,A37V,модуль узгодження,2400,100,20,так,так,296,фаркоп,https://i.postimg.cc/QxNn4b7Z/A37v.png
Фаркоп Auto-Hak для автомобіля BMW X 5 кузов E 70 з 2007 B10,BMW,X 5,кузов E 70,з 2007,B10,модуль узгодження,3500,150,"16,9",так,так,137,фаркоп,https://i.postimg.cc/ZY24x8rK/B10.png
Фаркоп Auto-Hak для автомобіля BMW X 5 кузов F15  з 2013 B10,BMW,X 5,кузов F15 ,з 2013,B10,модуль узгодження,3500,150,"16,9",так,так,137,фаркоп,https://i.postimg.cc/ZY24x8rK/B10.png
Фаркоп Auto-Hak для автомобіля BMW X 5 кузов E 53 2000-2007 B14,BMW,X 5,кузов E 53,2000-2007,B14,модуль узгодження,3500,150,25,так,так,147,фаркоп,https://i.postimg.cc/R0SBZXzG/B14.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля BMW X 5 кузов E 53 2000-2007 B14V,BMW,X 5,кузов E 53,2000-2007,B14V,модуль узгодження,3500,150,26,так,так,210,фаркоп,https://i.postimg.cc/rpfL0xVT/B14V.png
Фаркоп Auto-Hak для автомобіля BMW X3 кузов F25 з 2010 B16,BMW,X3   ,"кузов F25, не підходить на  X3M",з 2010,B16,модуль узгодження,2400,100,"13,6",так,ні,118,фаркоп,https://i.postimg.cc/xCqVK88z/B16.jpg
Фаркоп Auto-Hak для автомобіля BMW X4 кузов F26 з  2014 B16,BMW,X4,"кузов F26, не підходить на  X3M",з  2014,B16,модуль узгодження,2400,100,"13,6",так,ні,118,фаркоп,https://i.postimg.cc/xCqVK88z/B16.jpg
Фаркоп Auto-Hak для автомобіля FORD GALAXY III  з 2006 C51,FORD,GALAXY III,"5 двер., VAN",з 2006,C51,модуль узгодження,2350,100,"16,1",так,так,79,фаркоп,https://i.postimg.cc/9X7FSgXq/C51.png
"Фаркоп Auto-Hak для автомобіля FORD C-MAX, (GRAND C-MAX)  з 2010 C57",FORD,"C-MAX, (GRAND C-MAX)",,з 2010,C57,модуль узгодження,1500,75,"16,5",так,ні,90,фаркоп,https://i.postimg.cc/pdmw0BgL/c57.png
Фаркоп Auto-Hak для автомобіля FORD TRANSIT/TOURNEO CUSTOM  з 2013 C58,FORD,TRANSIT/TOURNEO CUSTOM,Бус,з 2013,C58,модуль узгодження,2800,115,"20,6",ні,ні,147,фаркоп,https://i.postimg.cc/52KcqrKr/C58.png
Фаркоп Auto-Hak для автомобіля FORD RANGER  з 2012 C59,FORD,RANGER,,з 2012,C59,звичайна електрика,3500,225,"32,1",так,ні,235,фаркоп,https://i.postimg.cc/bwwcnPgb/C59.png
Фаркоп Auto-Hak для автомобіля MAZDA BT-50 Pick-up з 2012 C59,MAZDA,BT-50,Pick-up,з 2012,C59,звичайна електрика,3500,225,"32,1",так,ні,235,фаркоп,https://i.postimg.cc/bwwcnPgb/C59.png
Фаркоп Auto-Hak для автомобіля FORD KUGA  з 2013 C60,FORD,KUGA,,з 2013,C60,модуль узгодження,2100,105,"19,1",так,так,126,фаркоп,https://i.postimg.cc/RV9zMKng/C60.png
Фаркоп Auto-Hak для автомобіля FORD TRANSIT VAN з 2014 C61,FORD,"TRANSIT VAN, MINIBUS крім TOURNEO",фургон,з 2014,C61,модуль узгодження,3500,140,"26,5",ні,ні,165,фаркоп,https://i.postimg.cc/7PSk8mbC/C61.png
Фаркоп Auto-Hak для автомобіля FORD TRANSIT/TOURNEO COURIER коротка база з 2014 C63,FORD,TRANSIT/TOURNEO COURIER,коротка база,з 2014,C63,модуль узгодження,910,50,"17,4",ні,ні,88,фаркоп,https://i.postimg.cc/C5CTGL9C/C63.png
"Фаркоп Auto-Hak для автомобіля FORD EDGE SUV, також на версію USA з 2015 C66",FORD,EDGE,"SUV, також на версію USA",з 2015,C66,модуль узгодження,2350,120,"20,9",так,ні,170,фаркоп,https://i.postimg.cc/yxCC3SpY/C66.png
Фаркоп Auto-Hak для автомобіля CHRYSLER VOYAGER з 2009 CH48,CHRYSLER,VOYAGER,VAN,з 2009,CH48,звичайна електрика,1800,80,"25,4",так,так,119,фаркоп,https://i.postimg.cc/tCdRR1xq/CH48.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля MERCEDES VIANO кузов WSA 639 з 2003 D30A,MERCEDES,VIANO,кузов WSA 639,з 2003,D30A,модуль узгодження,2000,100,"18,7",так,так,160,фаркоп,https://i.postimg.cc/HxyCLt2h/D30A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля MERCEDES VITO кузов WSA 639 з 2003 D30A,MERCEDES,VITO,кузов WSA 639,з 2003,D30A,модуль узгодження,2000,100,"18,7",так,так,160,фаркоп,https://i.postimg.cc/HxyCLt2h/D30A.png
Фаркоп Auto-Hak для автомобіля MERCEDES SPRINTER  з 2006 D35,MERCEDES,SPRINTER,"3,665/4,325m, бортовий 1 k., фургон 2 k. без підножки",з 2006,D35,модуль узгодження,3500,150,"19,7",ні,ні,149,фаркоп,https://i.postimg.cc/XYVjrVfw/D35.png
Фаркоп Auto-Hak для автомобіля VOLKSWAGEN CRAFTER без підножки 2006-2016 D35,VOLKSWAGEN,CRAFTER,"3,25/3,665/4,325m фургон, без підножки",2006-2016,D35,модуль узгодження,3500,150,"19,7",ні,ні,149,фаркоп,https://i.postimg.cc/XYVjrVfw/D35.png
"Фаркоп Auto-Hak для автомобіля MERCEDES SPRINTER 5 тон, бортовий, спарені колеса з 2006 D40",MERCEDES,SPRINTER,"5 тон, бортовий, спарені колеса",з 2006,D40,модуль узгодження,3500,140,"18,8",так,ні,151,фаркоп,https://i.postimg.cc/k5G7yfhG/D40.png
"Фаркоп Auto-Hak для автомобіля VOLKSWAGEN CRAFTER 5 тон, бортовий, спарені колеса 2006-2016 D40",VOLKSWAGEN,CRAFTER," тон, бортовий, спарені колеса",2006-2016,D40,модуль узгодження,3500,140,"18,8",так,ні,151,фаркоп,https://i.postimg.cc/k5G7yfhG/D40.png
Фаркоп Auto-Hak для автомобіля MERCEDES GLA  c 2014 D46,MERCEDES,GLA,,c 2014,D46,модуль узгодження,1600,100,"17,9",ні,ні,88,фаркоп,https://i.postimg.cc/pdyHwvnx/D46.png
"Фаркоп Auto-Hak для автомобіля MERCEDES VITO, VIANO кузов W447 з 2014 D47",MERCEDES,"VITO, VIANO",кузов W447,з 2014,D47,модуль узгодження,2500,75,"21,1",так,ні,132,фаркоп,https://i.postimg.cc/Hk6mvnnB/D47.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля MERCEDES GL кузов (X164) 2006-2012 D49A,MERCEDES,GL,кузов (X164),2006-2012,D49A,модуль узгодження,3500,135,"35,2",так,ні,245,фаркоп,https://i.postimg.cc/5241mL4X/D49A.png
Фаркоп Auto-Hak для автомобіля MERCEDES GL кузов (X166) з 2012 D49A,MERCEDES,GL,кузов (X166),з 2012,D49A,модуль узгодження,3500,135,"35,2",так,ні,245,фаркоп,https://i.postimg.cc/5241mL4X/D49A.png
"Фаркоп Auto-Hak для автомобіля MERCEDES W 166 class ML (GLE), AMG з 2011 D50",MERCEDES,W 166,"class ML (GLE), AMG, не підходить на ML 6.3 AMG",з 2011,D50,модуль узгодження,3500,140,"33,6",так,ні,160,фаркоп,https://i.postimg.cc/fThMJ11j/D50.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля MERCEDES W 166  class ML (GLE) з 2011 D50A,MERCEDES,W 166 ,"class ML (GLE), AMG, не підходить на ML 6.3 AMG",з 2011,D50A,модуль узгодження,3500,140,34,так,ні,260,фаркоп,https://i.postimg.cc/xjm0j9p1/D50A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля MERCEDES W 166  class ML (GLE) з 2011 D50V,MERCEDES,W 166 ,"class ML (GLE), AMG, не підходить на ML 6.3 AMG",з 2011,D50V,модуль узгодження,3500,140,34,так,ні,334,фаркоп,https://i.postimg.cc/ydMshGxK/D50V.png
Фаркоп Auto-Hak для автомобіля MERCEDES GLE  COUPE кузов (C292) з 2015 D53,MERCEDES,GLE  COUPE,"кузов (C292), AMG, не підходить на ML 6.3 AMG",з 2015,D53,модуль узгодження,3500,140,"33,6",так,ні,215,фаркоп,https://i.postimg.cc/vBgGVyQX/D53.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля MERCEDES GLE  COUPE    кузов (C292) з 2015 D53V,MERCEDES,GLE  COUPE   ,"кузов (C292), AMG, не підходить на ML 6.3 AMG",з 2015,D53V,модуль узгодження,3500,140,"32,9",так,ні,360,фаркоп,https://i.postimg.cc/JhhrRJvf/D53V.png
Фаркоп Auto-Hak для автомобіля MERCEDES X - KLASA PICK UP з 2017 D55,MERCEDES,X - KLASA,PICK UP,з 2017,D55,модуль узгодження,3500,140,"24,1",ні,ні,175,фаркоп,https://i.postimg.cc/Mp5ZktP0/D55.png
Фаркоп Auto-Hak для автомобіля CITROEN BERLINGO (колісна база 4680 мм) з 2008 F38,CITROEN,BERLINGO,(колісна база 4680 мм),з 2008,F38,модуль узгодження,1600,70,"19,8",ні,ні,139,фаркоп,https://i.postimg.cc/CK2SrkWN/F38.png
Фаркоп Auto-Hak для автомобіля PEUGEOT PARTNER (колісна база 4680 мм) з 2008 F38,PEUGEOT,PARTNER,(колісна база 4680 мм),з 2008,F38,модуль узгодження,1600,70,"19,8",ні,ні,139,фаркоп,https://i.postimg.cc/CK2SrkWN/F38.png
Фаркоп Auto-Hak для автомобіля DACIA SANDERO STEPWAY  з 2009 G61,DACIA,SANDERO STEPWAY,5 двер.,з 2009,G61,звичайна електрика,1350,75,"19,6",ні,ні,91,фаркоп,https://i.postimg.cc/hj7gkhnq/G61.png
Фаркоп Auto-Hak для автомобіля DACIA DUSTER  (2/4 WD) з 2010 G62,DACIA,DUSTER              ,(2/4 WD),з 2010,G62,звичайна електрика,1500,75,"15,6",так,ні,121,фаркоп,https://i.postimg.cc/8cQDNDkf/G62.png
